,user_name,quote
85,Biggs,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire."
86,Luke,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.
87,Biggs,Things always change.
88,Luke,I wish I was going...  Are you going to be around long? 
89,Biggs,"No, I'm leaving in the morning..."
90,Luke,Then I guess I won't see you.
91,Biggs,Maybe someday...  I'll keep a lookout.
92,Luke,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got."
93,Biggs,"So long, Luke."
94,Threepio,Artoo-Detoo!  It's you!  It's you!
95,First trooper,Someone was in the pod.  The tracks go off in this direction. 
96,Second trooper,"Look, sir - droids."
97,Threepio,Wake up!  Wake up!
98,Threepio,We're doomed.
99,Threepio,Do you think they'll melt us down?
100,Threepio,Don't shoot!  Don't shoot!  Will this never end?
101,Beru,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce."
102,Luke,It looks like we don't have much of a choice but I'll remind him.
103,Owen,I have no need for a protocol droid.
104,Threepio,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...
105,Owen,What I really need is a droid that understands the binary languages of moisture vaporators.
106,Threepio,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...
107,Owen,Do you speak Bocce?
108,Threepio,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce..."
109,Owen,All right; shut up! I'll take this one.
110,Threepio,"Shutting up, sir."
111,Owen,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner."
112,Luke,But I was going into Toshi Station to pick up some power converters...
113,Owen,"You can waste time with your friends when your chores are done.  Now, come on, get to it!"
114,Luke,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go."
115,Luke,Uncle Owen...
116,Owen,Yeah?
117,Luke,This R2 unit has a bad motivator.  Look!
118,Owen,"Hey, what're you trying to push on us?"
119,Threepio,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain."
120,Luke,Uncle Owen...
121,Owen,Yeah?
122,Luke,What about that one?
123,Owen,What about that blue one?  We'll take that one.
124,Luke,"Yeah, take it away."
125,Threepio,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes."
126,Luke,"Okay, let's go."
127,Threepio,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!"
128,Threepio,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!"
129,Luke,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!"
130,Threepio,Is there anything I might do to help? 
131,Luke,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
132,Threepio,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
133,Luke,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
134,Threepio,"I see, sir."
135,Luke,"Uh, you can call me Luke."
136,Threepio,"I see, sir Luke."
137,Luke,Just Luke.
138,Threepio,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
